"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2025","35.913","34.845","36.000","34.845","105.89K","3.68%"
"06/10/2025","34.638","35.550","35.625","34.440","83.95K","-2.72%"
"06/09/2025","35.605","36.485","36.505","35.415","64.20K","-1.78%"
"06/06/2025","36.251","36.395","36.850","35.870","74.47K","-0.39%"
"06/05/2025","36.393","35.865","36.670","35.675","75.29K","2.08%"
"06/04/2025","35.650","36.195","36.485","35.350","92.70K","-0.55%"
"06/03/2025","35.848","34.895","36.115","34.890","68.60K","2.38%"
"06/02/2025","35.015","34.050","35.490","33.705","80.88K","2.30%"
"05/30/2025","34.228","35.155","35.440","33.825","92.87K","-2.65%"
"05/29/2025","35.158","36.990","37.005","34.800","33.02K","-4.17%"
"05/28/2025","36.687","36.665","37.125","36.350","73.04K","-0.86%"
"05/27/2025","37.006","36.960","37.935","36.435","102.00K","-0.66%"
"05/26/2025","37.253","36.890","37.355","36.595","31.77K","2.20%"
"05/23/2025","36.450","36.645","36.865","35.420","94.70K","0.26%"
"05/22/2025","36.356","36.455","37.185","36.105","61.85K","-0.72%"
"05/21/2025","36.621","37.050","37.815","36.415","78.03K","-0.97%"
"05/20/2025","36.979","35.000","37.205","34.985","96.32K","4.98%"
"05/19/2025","35.225","35.300","35.495","34.800","58.98K","0.20%"
"05/16/2025","35.156","35.705","35.930","34.730","83.16K","-0.39%"
"05/15/2025","35.294","34.830","35.610","34.455","87.71K","0.70%"
"05/14/2025","35.048","35.600","35.900","34.425","69.38K","-1.95%"
"05/13/2025","35.744","35.275","36.150","34.930","66.72K","1.00%"
"05/12/2025","35.390","34.550","36.325","34.450","98.38K","2.23%"
"05/09/2025","34.618","35.700","36.050","34.300","79.85K","-2.05%"
"05/08/2025","35.341","34.020","35.745","34.020","79.23K","2.35%"
"05/07/2025","34.531","35.000","35.500","34.075","86.08K","-0.61%"
"05/06/2025","34.743","32.930","35.140","32.930","73.13K","5.51%"
"05/05/2025","32.930","32.600","33.150","32.400","26.31K","-0.45%"
"05/02/2025","33.078","31.990","33.675","31.815","80.98K","2.89%"
"05/01/2025","32.149","32.175","32.465","31.585","51.32K","-0.52%"
"04/30/2025","32.317","31.450","32.900","31.440","73.56K","1.45%"
"04/29/2025","31.856","31.805","32.170","31.195","59.36K","-1.67%"
"04/28/2025","32.398","32.055","32.790","31.635","74.06K","-0.10%"
"04/25/2025","32.432","33.700","33.800","31.945","89.61K","-3.40%"
"04/24/2025","33.574","33.995","34.355","32.990","95.06K","-1.72%"
"04/23/2025","34.160","34.655","35.070","33.800","91.69K","-0.25%"
"04/22/2025","34.244","34.790","35.790","33.930","73.82K","-3.96%"
"04/17/2025","35.657","35.310","35.930","35.290","73.96K","0.98%"
"04/16/2025","35.312","34.020","35.655","33.780","80.69K","2.63%"
"04/15/2025","34.407","35.000","35.535","34.080","82.60K","-0.27%"
"04/14/2025","34.499","33.785","34.835","33.690","70.10K","3.10%"
"04/11/2025","33.463","32.700","34.075","32.545","84.70K","0.51%"
"04/10/2025","33.293","36.250","36.420","33.065","106.60K","-1.11%"
"04/09/2025","33.666","33.935","35.450","33.245","150.91K","-7.08%"
"04/08/2025","36.231","36.335","36.980","35.490","82.72K","-2.08%"
"04/07/2025","37.000","35.490","38.620","33.505","127.51K","1.65%"
"04/04/2025","36.401","39.005","39.520","35.150","124.69K","-7.15%"
"04/03/2025","39.203","40.500","40.500","38.400","104.79K","-4.99%"
"04/02/2025","41.263","42.400","43.095","40.840","75.56K","-2.80%"
"04/01/2025","42.450","40.745","42.700","40.350","80.57K","4.38%"
"03/31/2025","40.667","40.600","41.420","39.850","75.31K","0.20%"
"03/28/2025","40.587","41.300","41.350","40.250","72.98K","-1.49%"
"03/27/2025","41.202","40.750","41.640","40.350","95.01K","0.81%"
"03/26/2025","40.870","40.820","41.420","40.420","88.19K","-1.65%"
"03/25/2025","41.555","42.245","42.950","41.050","96.50K","-2.79%"
"03/24/2025","42.748","42.625","43.000","41.190","92.05K","0.34%"
"03/21/2025","42.605","44.440","45.495","42.000","118.44K","-0.58%"
"03/20/2025","42.855","43.900","44.330","42.650","105.23K","-1.15%"
"03/19/2025","43.355","41.290","43.985","41.290","125.83K","6.38%"
"03/18/2025","40.755","41.000","41.990","39.740","89.79K","-1.20%"
"03/17/2025","41.248","41.625","42.105","40.275","83.89K","-2.46%"
"03/14/2025","42.290","40.925","42.920","40.750","111.03K","0.51%"
"03/13/2025","42.076","41.900","43.650","40.145","129.06K","-0.42%"
"03/12/2025","42.254","41.550","43.445","41.210","110.62K","-1.07%"
"03/11/2025","42.710","41.225","43.735","40.775","103.58K","3.58%"
"03/10/2025","41.232","39.000","41.400","38.500","96.58K","3.15%"
"03/07/2025","39.971","37.720","41.580","36.400","175.88K","4.53%"
"03/06/2025","38.240","41.250","42.205","37.535","135.03K","-7.87%"
"03/05/2025","41.508","42.500","44.000","40.825","125.45K","-4.50%"
"03/04/2025","43.464","45.220","45.900","42.430","114.63K","-3.87%"
"03/03/2025","45.213","45.250","47.300","44.500","89.16K","2.01%"
"02/28/2025","44.320","45.650","46.645","44.000","90.23K","-1.36%"
"02/27/2025","44.930","41.050","45.450","41.000","60.60K","8.69%"
"02/26/2025","41.336","43.850","44.210","40.820","97.25K","-6.67%"
"02/25/2025","44.291","47.000","47.235","43.485","96.63K","-6.05%"
"02/24/2025","47.144","46.520","47.450","44.930","112.16K","-0.11%"
"02/21/2025","47.195","47.605","48.300","45.905","106.56K","-0.63%"
"02/20/2025","47.494","47.175","48.715","46.000","97.38K","-1.60%"
"02/19/2025","48.264","49.750","50.445","46.960","108.93K","-1.93%"
"02/18/2025","49.215","47.550","49.930","46.820","133.17K","2.24%"
"02/17/2025","48.136","49.880","50.985","47.560","86.40K","-5.03%"
"02/14/2025","50.685","50.450","51.650","48.390","133.79K","-1.36%"
"02/13/2025","51.383","54.500","54.560","50.500","148.47K","-7.69%"
"02/12/2025","55.661","56.300","57.050","54.140","123.74K","-3.64%"
"02/11/2025","57.766","57.770","59.390","56.205","113.36K","-0.47%"
"02/10/2025","58.039","57.000","58.750","56.675","104.12K","4.16%"
"02/07/2025","55.723","54.190","56.095","53.600","105.42K","2.24%"
"02/06/2025","54.502","53.750","55.455","53.450","116.16K","1.99%"
"02/05/2025","53.438","52.150","53.950","51.715","95.43K","2.67%"
"02/04/2025","52.048","53.400","53.445","51.290","107.49K","-3.25%"
"02/03/2025","53.794","54.395","54.805","52.790","101.90K","1.05%"
"01/31/2025","53.237","51.510","53.840","51.510","118.34K","2.92%"
"01/30/2025","51.726","51.100","52.650","50.435","62.12K","1.11%"
"01/29/2025","51.156","48.940","51.500","48.925","84.29K","6.08%"
"01/28/2025","48.224","48.370","48.830","47.785","72.11K","0.76%"
"01/27/2025","47.862","48.695","49.300","47.600","114.64K","-3.70%"
"01/24/2025","49.702","49.550","50.160","48.150","95.12K","1.18%"
"01/23/2025","49.123","49.420","50.475","48.525","96.35K","0.84%"
"01/22/2025","48.716","50.000","50.790","48.505","93.58K","-2.62%"
"01/21/2025","50.027","47.895","50.245","47.430","104.88K","4.54%"
"01/20/2025","47.853","46.795","48.075","46.065","88.83K","2.06%"
"01/17/2025","46.887","46.375","47.410","45.700","84.44K","1.40%"
"01/16/2025","46.241","46.700","46.700","45.645","74.91K","-1.63%"
"01/15/2025","47.006","47.400","47.955","46.415","94.66K","0.13%"
"01/14/2025","46.947","48.280","48.720","46.340","108.82K","-2.72%"
"01/13/2025","48.261","46.400","48.600","46.400","112.76K","7.23%"
"01/10/2025","45.008","45.005","45.880","43.175","119.22K","0.05%"
"01/09/2025","44.987","44.950","45.500","43.870","101.52K","-1.26%"
"01/08/2025","45.559","47.975","48.280","45.075","98.59K","-4.03%"
"01/07/2025","47.474","47.000","47.920","45.950","79.23K","0.31%"
"01/06/2025","47.326","49.395","49.395","46.925","89.34K","-4.63%"
"01/03/2025","49.622","49.975","50.400","49.355","62.45K","-1.29%"
"01/02/2025","50.273","50.555","51.000","48.550","85.75K","2.83%"
"12/31/2024","48.889","48.240","50.570","48.075","45.25K","2.64%"
"12/30/2024","47.633","48.935","48.935","47.060","42.14K","-0.21%"
"12/27/2024","47.731","47.000","48.020","46.650","62.52K","4.37%"
"12/24/2024","45.731","45.875","46.625","45.040","44.03K","0.41%"
"12/23/2024","45.545","43.950","45.850","43.790","60.71K","3.21%"
"12/20/2024","44.130","43.715","44.710","42.730","88.17K","2.44%"
"12/19/2024","43.078","41.500","43.745","39.790","113.49K","5.05%"
"12/18/2024","41.007","42.110","42.500","40.585","90.33K","-2.52%"
"12/17/2024","42.065","39.800","42.205","39.800","114.43K","4.44%"
"12/16/2024","40.277","40.180","40.635","38.885","109.62K","-2.28%"
"12/13/2024","41.215","42.700","43.275","40.995","107.19K","-3.71%"
"12/12/2024","42.804","44.715","44.900","42.465","106.73K","-4.23%"
"12/11/2024","44.694","45.535","46.000","44.400","75.12K","-1.88%"
"12/10/2024","45.552","44.840","45.865","44.430","71.21K","1.55%"
"12/09/2024","44.855","46.350","46.380","44.730","89.52K","-3.50%"
"12/06/2024","46.480","46.205","46.725","45.900","71.65K","-0.15%"
"12/05/2024","46.551","47.750","48.050","45.970","75.53K","-1.05%"
"12/04/2024","47.046","48.000","48.220","46.655","84.69K","-3.11%"
"12/03/2024","48.557","48.650","49.095","48.200","61.82K","-0.20%"
"12/02/2024","48.655","48.300","49.320","48.300","81.39K","1.77%"
"11/29/2024","47.811","46.750","48.000","46.195","91.11K","3.35%"
"11/28/2024","46.260","46.800","47.150","46.005","33.38K","-1.07%"
"11/27/2024","46.762","46.480","46.915","45.860","61.09K","-0.96%"
"11/26/2024","47.216","47.500","48.440","45.950","107.23K","-1.08%"
"11/25/2024","47.733","47.050","48.905","46.585","91.21K","1.52%"
"11/22/2024","47.018","48.800","49.550","46.650","112.62K","-2.66%"
"11/21/2024","48.303","46.950","48.860","46.940","91.03K","3.22%"
"11/20/2024","46.796","45.595","47.230","45.140","88.88K","2.47%"
"11/19/2024","45.668","47.000","47.400","45.460","101.75K","-2.63%"
"11/18/2024","46.900","45.350","47.150","44.800","87.47K","0.75%"
"11/15/2024","46.551","46.000","47.490","45.410","125.36K","0.71%"
"11/14/2024","46.224","45.500","46.490","44.980","106.28K","5.86%"
"11/13/2024","43.666","43.225","43.990","42.200","106.50K","-1.33%"
"11/12/2024","44.255","43.930","44.465","42.990","90.49K","1.21%"
"11/11/2024","43.728","41.630","44.110","41.205","108.69K","3.11%"
"11/08/2024","42.409","41.600","43.075","41.595","91.05K","2.74%"
"11/07/2024","41.276","40.600","41.600","40.340","79.21K","2.20%"
"11/06/2024","40.388","40.055","40.715","39.035","91.18K","-0.26%"
"11/05/2024","40.492","40.510","41.250","40.270","80.79K","0.47%"
"11/04/2024","40.301","39.200","40.525","39.100","78.86K","2.87%"
"11/01/2024","39.175","38.850","40.425","38.350","114.77K","-3.48%"
"10/31/2024","40.588","41.500","41.510","38.025","115.79K","-0.77%"
"10/30/2024","40.903","42.150","42.450","40.835","47.78K","-4.59%"
"10/29/2024","42.869","42.600","43.750","42.205","78.87K","0.82%"
"10/28/2024","42.519","42.350","42.870","41.650","85.47K","-2.28%"
"10/25/2024","43.513","42.370","43.680","42.050","81.09K","3.22%"
"10/24/2024","42.154","41.720","42.650","41.585","88.70K","1.87%"
"10/23/2024","41.380","40.990","41.875","40.640","78.59K","1.66%"
"10/22/2024","40.704","39.800","41.100","39.715","84.08K","1.70%"
"10/21/2024","40.024","39.295","40.260","39.270","73.40K","2.09%"
"10/18/2024","39.204","39.515","39.750","39.090","67.25K","-1.12%"
"10/17/2024","39.650","39.485","40.040","39.300","62.20K","1.04%"
"10/16/2024","39.241","40.000","40.465","39.145","74.76K","-1.83%"
"10/15/2024","39.973","39.700","40.135","38.845","85.59K","-1.44%"
"10/14/2024","40.559","39.600","40.795","39.150","66.05K","1.71%"
"10/11/2024","39.879","40.205","40.625","39.500","75.89K","-1.03%"
"10/10/2024","40.293","38.600","40.400","38.075","81.02K","5.09%"
"10/09/2024","38.341","39.000","39.200","38.075","84.54K","-1.49%"
"10/08/2024","38.919","40.250","40.305","38.550","94.55K","-3.29%"
"10/07/2024","40.244","40.490","41.000","39.450","99.50K","-1.80%"
"10/04/2024","40.980","39.750","41.180","39.345","83.56K","2.68%"
"10/03/2024","39.912","38.800","40.030","38.005","92.11K","3.35%"
"10/02/2024","38.617","40.250","40.545","38.425","101.53K","-1.67%"
"10/01/2024","39.273","38.600","39.755","37.400","120.14K","0.59%"
"09/30/2024","39.044","38.985","39.500","38.620","81.54K","2.44%"
"09/27/2024","38.114","37.750","38.195","37.050","50.59K","0.59%"
"09/26/2024","37.890","37.525","37.965","36.400","98.46K","1.53%"
"09/25/2024","37.319","36.240","37.610","35.950","92.57K","5.38%"
"09/24/2024","35.413","36.295","36.665","35.265","103.00K","-2.20%"
"09/23/2024","36.211","35.000","36.340","34.450","116.88K","5.13%"
